elapsed_seconds,interval_throughput,interval_latency_mean_us,interval_latency_p50_us,interval_latency_p95_us,interval_latency_p99_us,interval_std_dev_us
1.00,200,4480.87,4491,4967,5635,498.61
2.00,200,4546.61,4531,5091,7195,1209.91
3.00,200,4302.46,4371,4915,6643,694.61
4.00,200,4516.15,4595,4971,5675,1209.59
5.00,300,4405.59,4499,4959,5747,552.52
6.00,200,4397.34,4483,4939,5159,534.98
7.00,200,4359.15,4419,4899,5155,538.03
8.00,200,4345.90,4507,4891,5999,624.77
9.00,300,4466.15,4495,4951,8799,1326.63
10.00,200,4467.65,4487,5011,7267,1031.86
11.00,200,4523.66,4519,4987,7663,990.54
12.00,200,4489.18,4507,5011,6535,1446.05
13.00,300,4369.25,4519,4967,5187,663.53
14.00,200,4468.27,4531,5083,5695,490.92
15.00,200,4567.23,4503,5191,7463,1229.25
16.00,200,4418.50,4483,5075,5727,507.27
17.00,300,4505.05,4535,5039,5719,1223.71
18.00,200,4531.85,4591,5087,5231,1331.70
19.00,200,4299.35,4423,4895,5155,600.04
20.00,200,4494.47,4511,5083,5563,1149.46
21.00,300,4222.85,4431,4907,5135,667.56
22.00,200,4503.20,4579,4907,5863,658.37
23.00,200,4159.12,4263,4659,5207,544.54
24.00,300,4303.14,4403,4855,5815,590.38
25.00,200,4482.69,4599,4979,5279,531.12
26.00,200,4382.98,4431,4963,5475,1322.96
27.00,200,4272.34,4415,4847,5131,644.91
28.00,300,4436.82,4479,4927,6399,992.22
29.00,200,4584.22,4571,4983,8703,1827.73
30.00,200,4434.38,4563,4967,5171,625.99
31.00,200,4256.69,4363,4871,5851,1218.84
32.00,300,4262.09,4375,4827,5079,854.65
33.00,200,4523.51,4559,5011,6667,1196.55
34.00,200,4456.65,4535,5111,6643,1151.97
35.00,300,4445.59,4547,5059,6315,613.85
36.00,200,4483.10,4527,5003,8191,1063.19
37.00,200,4208.60,4351,4995,5883,727.61
38.00,200,4296.69,4471,5067,6099,715.69
39.00,300,4407.98,4487,4927,5299,1012.91
40.00,200,4430.26,4511,5031,5771,596.95
41.00,200,4528.90,4491,5023,6259,1186.60
42.00,200,4608.20,4571,5023,10703,1716.12
43.00,300,4439.41,4539,4931,5471,536.15
44.00,200,4394.31,4487,4907,5051,465.07
45.00,200,4394.60,4475,4971,5435,557.44
46.00,200,4385.06,4443,5087,6451,652.99
47.00,300,4257.53,4343,4767,5663,567.52
48.00,200,4291.26,4415,4639,4995,663.74
49.00,200,4408.52,4447,4951,5711,1187.33
50.00,300,4389.12,4455,5015,5239,629.03
51.00,200,4640.82,4627,5055,8423,1891.99
52.00,200,4445.70,4483,4883,6451,1260.33
53.00,200,4269.59,4403,4907,6071,666.33
54.00,300,4168.34,4403,4867,5083,686.74
55.00,200,4301.66,4411,4875,5767,616.97
56.00,200,4156.55,4319,4847,5123,587.79
57.00,300,4468.92,4451,4863,6171,1260.68
58.00,200,4367.60,4495,4895,5111,536.44
59.00,200,4346.15,4419,5051,6835,1408.42
60.00,300,4280.91,4471,4935,5431,635.78
61.00,200,4324.98,4423,4867,6047,659.43
62.00,200,4253.05,4415,4823,5127,1100.14
63.00,200,4482.82,4519,4907,7431,623.32
64.00,300,4401.03,4431,4855,6471,1446.33
65.00,200,4163.19,4367,4855,5039,652.75
66.00,200,4340.02,4435,4851,4943,611.59
67.00,300,4395.90,4471,4779,5583,1046.13
68.00,200,4618.91,4531,4879,7223,1747.57
69.00,200,4372.73,4511,4883,5095,552.93
70.00,200,4262.23,4479,4831,5015,601.41
71.00,300,4383.61,4427,4871,5443,957.71
72.00,200,4398.49,4459,4967,5343,831.35
73.00,200,4466.64,4411,4931,9199,815.37
74.00,200,4390.07,4467,4831,5675,539.00
75.00,300,4280.04,4431,4855,5283,607.99
76.00,200,4362.73,4519,4775,4987,490.69
77.00,200,4393.62,4371,4731,6651,1439.89
78.00,300,4373.64,4375,4727,5367,971.88
79.00,200,4470.99,4463,4879,8535,1331.62
80.00,200,4515.84,4547,4955,5083,564.34
81.00,200,4471.24,4459,4923,6019,1210.52
82.00,300,4388.22,4411,5071,7531,1177.38
83.00,200,4209.62,4283,4583,9175,1262.64
84.00,200,4020.56,4243,4687,5011,617.04
85.00,300,4266.00,4427,4991,5355,645.58
86.00,200,4406.20,4387,5151,6403,1582.25
87.00,200,4372.70,4415,5027,6547,642.75
88.00,300,4156.12,4247,4687,4995,650.92
89.00,200,4274.07,4367,4695,5743,529.56
90.00,200,4293.60,4383,4727,5447,465.05
91.00,300,4257.57,4395,5051,5371,728.45
92.00,200,4277.52,4339,4703,8351,1419.71
93.00,200,4623.05,4523,5207,8135,1809.85
94.00,300,4257.00,4319,4759,5451,603.62
95.00,200,4227.29,4287,4695,5331,517.32
96.00,200,4447.47,4479,4947,5127,466.79
97.00,200,4433.10,4407,4891,8071,681.42
98.00,300,4388.21,4475,5035,5171,922.07
99.00,200,4235.12,4363,4695,6283,699.30
100.00,300,4094.02,4243,4655,5215,899.84
101.00,200,4246.90,4343,4923,5247,631.11
102.00,200,4260.31,4415,4959,5391,689.18
103.00,300,4288.02,4379,5019,5251,1065.18
104.00,200,4129.53,4375,4811,5747,716.61
105.00,200,4208.12,4363,4787,5203,1311.57
106.00,300,4168.06,4379,4867,5255,752.89
107.00,200,4244.17,4291,4939,7291,716.60
108.00,200,4278.60,4443,4919,5291,710.53
109.00,300,4283.18,4331,4967,7339,1498.01
110.00,200,4253.97,4419,4779,6071,657.18
111.00,200,4433.60,4515,4903,5571,1050.12
112.00,300,4245.34,4375,4771,5179,623.97
113.00,200,4316.14,4391,4971,5155,1345.42
114.00,200,4402.78,4415,4979,5339,1213.71
115.00,200,4517.49,4539,5159,6339,1059.08
116.00,300,4428.34,4479,4843,6927,748.00
117.00,200,4335.79,4459,4835,5007,457.82
118.00,200,4383.56,4455,4839,6035,1023.07
119.00,300,4342.81,4439,4779,5299,561.82
120.00,200,4434.27,4511,4987,7091,686.54
121.00,200,4322.61,4459,4747,4871,462.70
122.00,200,4383.09,4415,4715,8791,1293.79
123.00,300,4406.76,4419,4891,5803,1084.14
124.00,200,4393.72,4447,4967,5551,1022.63
125.00,200,4331.62,4359,5103,5927,1008.52
126.00,200,4497.44,4491,4787,9903,1122.00
127.00,300,4483.29,4479,4811,5203,1424.24
128.00,200,4364.12,4431,4783,5127,615.00
129.00,200,4322.47,4419,4855,5055,544.28
130.00,300,4400.04,4443,4915,6507,951.55
131.00,200,4267.23,4367,4851,6751,727.92
132.00,200,4291.11,4447,4831,4967,662.54
133.00,300,4283.10,4431,4879,5079,742.87
134.00,200,4477.01,4423,4899,9343,1514.37
135.00,200,4342.14,4415,4731,4963,428.57
136.00,200,4365.52,4459,4843,5399,660.30
137.00,300,4368.40,4423,4799,6787,1065.62
138.00,200,4413.28,4419,4875,9895,1483.28
139.00,200,4326.99,4435,4855,5151,634.48
140.00,200,4497.52,4475,5099,8327,1304.61
141.00,300,4398.77,4407,4895,7091,1133.66
142.00,200,4461.69,4523,4895,5623,582.31
143.00,200,4231.86,4347,4855,5451,605.32
144.00,300,4273.26,4383,4959,5179,615.41
145.00,200,4455.91,4451,4959,6515,1187.53
146.00,200,4423.12,4475,4847,5035,1356.36
147.00,200,4326.91,4431,4803,5371,535.76
148.00,300,4346.58,4347,4943,5247,954.74
149.00,200,4308.13,4411,4923,5331,678.92
150.00,200,4218.64,4415,4779,5291,573.64
151.00,300,4352.84,4443,4883,6275,941.69
152.00,200,4345.36,4391,4795,7759,1462.04
153.00,200,4277.47,4467,4947,5299,616.99
154.00,300,4353.07,4407,4835,5091,1059.31
155.00,200,4344.87,4427,4895,5259,1081.69
156.00,200,4252.21,4367,5019,6163,647.54
157.00,300,4339.48,4399,4971,6287,755.87
158.00,200,4378.84,4435,4883,5119,443.00
159.00,200,4262.84,4391,4815,7443,784.83
160.00,300,4205.09,4411,4799,4987,608.48
161.00,200,4316.50,4403,4783,4859,1086.84
162.00,200,4410.53,4491,4923,5067,445.98
163.00,200,4241.12,4375,4823,5727,642.47
164.00,300,4307.19,4375,4883,5227,883.12
165.00,200,4321.40,4407,4815,5179,542.55
166.00,200,4463.10,4463,4799,7295,1378.63
167.00,300,4473.21,4423,4915,10279,1286.07
168.00,200,4267.89,4407,4867,6559,717.82
