elapsed_seconds,interval_throughput,interval_latency_mean_us,interval_latency_p50_us,interval_latency_p95_us,interval_latency_p99_us,interval_std_dev_us
1.00,46700,0.00,0,0,0,0.00
2.00,87300,0.00,0,0,0,0.00
3.00,96700,0.00,0,0,0,0.00
4.00,83400,0.00,0,0,0,0.00
5.00,102800,0.00,0,0,0,0.00
6.00,106300,0.00,0,0,0,0.00
7.00,101700,0.00,0,0,0,0.00
8.00,89900,0.00,0,0,0,0.00
9.00,96800,0.00,0,0,0,0.00
10.00,104900,0.00,0,0,0,0.00
11.00,108500,0.00,0,0,0,0.00
12.00,90700,0.00,0,0,0,0.00
13.00,89500,0.00,0,0,0,0.00
14.00,103500,0.00,0,0,0,0.00
15.00,99200,0.00,0,0,0,0.00
16.00,103800,0.00,0,0,0,0.00
17.00,89200,0.00,0,0,0,0.00
18.00,100400,0.00,0,0,0,0.00
19.00,93600,0.00,0,0,0,0.00
20.00,105500,0.00,0,0,0,0.00
21.00,84100,0.00,0,0,0,0.00
22.00,105100,0.00,0,0,0,0.00
23.00,102900,0.00,0,0,0,0.00
24.00,103300,0.00,0,0,0,0.00
25.00,81500,0.00,0,0,0,0.00
26.00,98700,0.00,0,0,0,0.00
27.00,108900,0.00,0,0,0,0.00
28.00,106200,0.00,0,0,0,0.00
29.00,87100,0.00,0,0,0,0.00
30.00,96000,0.00,0,0,0,0.00
31.00,96100,0.00,0,0,0,0.00
32.00,105500,0.00,0,0,0,0.00
33.00,93100,0.00,0,0,0,0.00
34.00,99500,0.00,0,0,0,0.00
35.00,93700,0.00,0,0,0,0.00
36.00,103300,0.00,0,0,0,0.00
37.00,102700,0.00,0,0,0,0.00
38.00,98000,0.00,0,0,0,0.00
39.00,91600,0.00,0,0,0,0.00
40.00,109500,0.00,0,0,0,0.00
41.00,100200,0.00,0,0,0,0.00
42.00,100500,0.00,0,0,0,0.00
43.00,94400,0.00,0,0,0,0.00
44.00,104400,0.00,0,0,0,0.00
45.00,104800,0.00,0,0,0,0.00
46.00,91900,0.00,0,0,0,0.00
47.00,84400,0.00,0,0,0,0.00
48.00,101900,0.00,0,0,0,0.00
49.00,111100,0.00,0,0,0,0.00
50.00,91900,0.00,0,0,0,0.00
51.00,91700,0.00,0,0,0,0.00
52.00,90900,0.00,0,0,0,0.00
53.00,100400,0.00,0,0,0,0.00
54.00,104100,0.00,0,0,0,0.00
55.00,98700,0.00,0,0,0,0.00
56.00,92400,0.00,0,0,0,0.00
57.00,102700,0.00,0,0,0,0.00
58.00,108000,0.00,0,0,0,0.00
59.00,97300,0.00,0,0,0,0.00
60.00,90200,0.00,0,0,0,0.00
61.00,109100,0.00,0,0,0,0.00
62.00,105800,0.00,0,0,0,0.00
63.00,87500,0.00,0,0,0,0.00
64.00,89900,0.00,0,0,0,0.00
65.00,104300,0.00,0,0,0,0.00
66.00,111200,0.00,0,0,0,0.00
67.00,85500,0.00,0,0,0,0.00
68.00,92400,0.00,0,0,0,0.00
69.00,100900,0.00,0,0,0,0.00
70.00,109000,0.00,0,0,0,0.00
71.00,95800,0.00,0,0,0,0.00
72.00,93800,0.00,0,0,0,0.00
73.00,93000,0.00,0,0,0,0.00
74.00,110300,0.00,0,0,0,0.00
75.00,97600,0.00,0,0,0,0.00
76.00,89100,0.00,0,0,0,0.00
77.00,94800,0.00,0,0,0,0.00
78.00,106400,0.00,0,0,0,0.00
79.00,107500,0.00,0,0,0,0.00
80.00,86100,0.00,0,0,0,0.00
81.00,96500,0.00,0,0,0,0.00
82.00,112300,0.00,0,0,0,0.00
83.00,107000,0.00,0,0,0,0.00
84.00,84600,0.00,0,0,0,0.00
85.00,99800,0.00,0,0,0,0.00
86.00,103900,0.00,0,0,0,0.00
87.00,106400,0.00,0,0,0,0.00
88.00,85400,0.00,0,0,0,0.00
89.00,101300,0.00,0,0,0,0.00
90.00,88800,0.00,0,0,0,0.00
91.00,109100,0.00,0,0,0,0.00
92.00,94800,0.00,0,0,0,0.00
93.00,113300,0.00,0,0,0,0.00
94.00,82000,0.00,0,0,0,0.00
95.00,100800,0.00,0,0,0,0.00
96.00,97000,0.00,0,0,0,0.00
97.00,110600,0.00,0,0,0,0.00
98.00,91000,0.00,0,0,0,0.00
99.00,99500,0.00,0,0,0,0.00
100.00,107000,0.00,0,0,0,0.00
101.00,102100,0.00,0,0,0,0.00
102.00,95900,0.00,0,0,0,0.00
103.00,98600,0.00,0,0,0,0.00
104.00,100800,0.00,0,0,0,0.00
105.00,99900,0.00,0,0,0,0.00
106.00,99900,0.00,0,0,0,0.00
107.00,95200,0.00,0,0,0,0.00
108.00,103200,0.00,0,0,0,0.00
109.00,97200,0.00,0,0,0,0.00
110.00,92800,0.00,0,0,0,0.00
111.00,96500,0.00,0,0,0,0.00
112.00,94400,0.00,0,0,0,0.00
113.00,103800,0.00,0,0,0,0.00
114.00,94000,0.00,0,0,0,0.00
115.00,86000,0.00,0,0,0,0.00
116.00,98900,0.00,0,0,0,0.00
117.00,104800,0.00,0,0,0,0.00
118.00,105300,0.00,0,0,0,0.00
119.00,98900,0.00,0,0,0,0.00
120.00,108200,0.00,0,0,0,0.00
121.00,108900,0.00,0,0,0,0.00
122.00,94500,0.00,0,0,0,0.00
123.00,84800,0.00,0,0,0,0.00
124.00,106100,0.00,0,0,0,0.00
125.00,106100,0.00,0,0,0,0.00
126.00,100600,0.00,0,0,0,0.00
127.00,86800,0.00,0,0,0,0.00
128.00,99000,0.00,0,0,0,0.00
129.00,106700,0.00,0,0,0,0.00
130.00,104200,0.00,0,0,0,0.00
131.00,97500,0.00,0,0,0,0.00
132.00,92100,0.00,0,0,0,0.00
133.00,104000,0.00,0,0,0,0.00
134.00,108700,0.00,0,0,0,0.00
135.00,92700,0.00,0,0,0,0.00
136.00,87400,0.00,0,0,0,0.00
137.00,98700,0.00,0,0,0,0.00
138.00,106200,0.00,0,0,0,0.00
139.00,85700,0.00,0,0,0,0.00
140.00,88300,0.00,0,0,0,0.00
141.00,111900,0.00,0,0,0,0.00
142.00,105600,0.00,0,0,0,0.00
143.00,99500,0.00,0,0,0,0.00
144.00,92500,0.00,0,0,0,0.00
145.00,90900,0.00,0,0,0,0.00
146.00,107200,0.00,0,0,0,0.00
147.00,103000,0.00,0,0,0,0.00
148.00,98900,0.00,0,0,0,0.00
149.00,90600,0.00,0,0,0,0.00
150.00,99600,0.00,0,0,0,0.00
151.00,109100,0.00,0,0,0,0.00
152.00,94100,0.00,0,0,0,0.00
153.00,86900,0.00,0,0,0,0.00
154.00,107100,0.00,0,0,0,0.00
155.00,106300,0.00,0,0,0,0.00
156.00,99800,0.00,0,0,0,0.00
157.00,85400,0.00,0,0,0,0.00
158.00,101600,0.00,0,0,0,0.00
159.00,110400,0.00,0,0,0,0.00
160.00,92500,0.00,0,0,0,0.00
161.00,87400,0.00,0,0,0,0.00
162.00,102000,0.00,0,0,0,0.00
163.00,115000,0.00,0,0,0,0.00
164.00,99300,0.00,0,0,0,0.00
165.00,85000,0.00,0,0,0,0.00
166.00,98000,0.00,0,0,0,0.00
167.00,103600,0.00,0,0,0,0.00
168.00,106600,0.00,0,0,0,0.00
169.00,93100,0.00,0,0,0,0.00
170.00,81300,0.00,0,0,0,0.00
171.00,104200,0.00,0,0,0,0.00
172.00,98900,0.00,0,0,0,0.00
173.00,106300,0.00,0,0,0,0.00
174.00,88600,0.00,0,0,0,0.00
175.00,99000,0.00,0,0,0,0.00
176.00,104000,0.00,0,0,0,0.00
177.00,99000,0.00,0,0,0,0.00
178.00,89800,0.00,0,0,0,0.00
179.00,90500,0.00,0,0,0,0.00
180.00,99100,0.00,0,0,0,0.00
181.00,103300,0.00,0,0,0,0.00
182.00,95100,0.00,0,0,0,0.00
183.00,86200,0.00,0,0,0,0.00
184.00,107400,0.00,0,0,0,0.00
185.00,106600,0.00,0,0,0,0.00
186.00,91300,0.00,0,0,0,0.00
187.00,88800,0.00,0,0,0,0.00
188.00,101700,0.00,0,0,0,0.00
189.00,105400,0.00,0,0,0,0.00
190.00,95500,0.00,0,0,0,0.00
191.00,87400,0.00,0,0,0,0.00
192.00,99800,0.00,0,0,0,0.00
193.00,103100,0.00,0,0,0,0.00
