elapsed_seconds,interval_throughput,interval_latency_mean_us,interval_latency_p50_us,interval_latency_p95_us,interval_latency_p99_us,interval_std_dev_us
1.00,200,3542.66,3354,4442,4951,658.15
2.00,300,3225.99,3279,3894,4520,642.63
3.00,300,3443.68,3580,4432,4432,632.70
4.00,300,3290.40,3464,4199,4586,590.38
5.00,300,3366.31,3508,4193,4584,592.19
6.00,300,3491.46,3389,4454,4622,572.76
7.00,300,3330.71,3307,3883,4013,530.78
8.00,200,3620.73,3689,4558,4658,626.17
9.00,300,3469.14,3441,4504,4504,819.21
10.00,300,3277.55,3365,3925,4374,630.78
11.00,300,3425.24,3567,4376,4721,673.00
12.00,300,3262.42,3345,4165,4269,576.95
13.00,300,3352.13,3534,4252,4271,551.84
14.00,300,3233.85,3232,3963,4363,620.35
15.00,300,3330.52,3367,4326,4527,621.94
16.00,200,3261.38,3420,4234,4571,605.19
17.00,300,3339.29,3272,4097,4262,557.16
18.00,300,3424.16,3541,4315,4315,565.23
19.00,300,3348.31,3435,4280,4393,528.50
20.00,300,3325.31,3332,4196,4547,586.00
21.00,300,3298.23,3555,4245,4295,554.42
22.00,300,3189.84,3334,4250,4351,600.76
23.00,200,3397.42,3582,4192,4826,609.60
24.00,300,3249.87,3242,4001,4332,610.47
25.00,300,3359.57,3583,4369,4444,646.60
26.00,300,3322.93,3403,4249,4555,625.03
27.00,300,3280.67,3267,4272,4620,622.25
28.00,300,3273.17,3304,4285,4395,594.38
29.00,300,3151.65,3116,3889,4103,592.72
30.00,300,3221.69,3316,4182,4444,630.45
31.00,200,3306.62,3267,4229,4337,570.00
32.00,300,3422.18,3548,4300,4397,599.28
33.00,300,3278.38,3355,4227,4227,542.55
34.00,300,3300.52,3268,4035,4348,552.02
35.00,300,3392.11,3641,4149,4312,617.02
36.00,300,3305.08,3340,4368,4545,634.12
37.00,300,3255.44,3419,4173,4245,598.77
38.00,300,3289.87,3462,4213,4401,601.72
39.00,300,3257.85,3276,4355,4516,678.59
40.00,300,3257.37,3294,4396,4426,597.00
41.00,200,3334.51,3309,4265,4439,572.88
42.00,300,3471.38,3628,4350,4527,616.18
43.00,300,3243.93,3384,4538,4558,623.82
44.00,300,3260.50,3282,3956,4029,545.57
45.00,300,3462.66,3585,4283,4283,559.64
46.00,300,3251.90,3213,4183,4393,621.40
47.00,200,3351.83,3359,4389,4437,633.31
48.00,200,3240.88,3292,4243,4407,609.07
49.00,300,3275.77,3248,4177,4496,657.49
50.00,300,3399.94,3539,4266,4284,539.26
51.00,300,3097.33,3130,4164,4292,587.91
52.00,300,3331.84,3665,4430,4515,623.90
53.00,300,3236.02,3232,4128,4448,603.55
54.00,300,3313.22,3528,4232,4599,614.59
55.00,300,3351.97,3464,4107,4499,606.84
56.00,300,3214.74,3093,3979,4112,627.32
57.00,300,3311.31,3473,4196,4320,634.14
58.00,300,3311.25,3314,4179,4408,628.71
59.00,300,3393.52,3379,4286,4485,596.46
60.00,300,3397.52,3546,4144,4276,553.44
61.00,300,3256.83,3214,4060,4380,593.71
62.00,300,3354.97,3587,4147,4430,567.43
63.00,300,3270.53,3271,3964,4308,565.99
64.00,300,3373.72,3566,4339,4640,627.79
65.00,200,3282.97,3274,4054,4294,533.12
66.00,300,3342.57,3316,4138,4664,581.99
67.00,300,3322.04,3408,4138,4513,599.99
68.00,300,3152.53,3245,4225,4263,635.60
69.00,200,3510.39,3603,4224,4924,661.25
70.00,300,3284.42,3361,4240,4475,628.53
71.00,300,3401.94,3411,4289,4663,594.55
72.00,300,3315.74,3340,4215,4273,622.21
