elapsed_seconds,interval_throughput,interval_latency_mean_us,interval_latency_p50_us,interval_latency_p95_us,interval_latency_p99_us,interval_std_dev_us
1.00,200,4567.79,4410,4970,5732,489.86
2.00,200,4477.70,4617,4807,7075,1202.49
3.00,200,4159.31,4507,5021,6817,689.81
4.00,200,4520.61,4570,5023,5586,1198.30
5.00,300,4373.59,4577,5062,5723,554.86
6.00,200,4516.30,4506,4985,5230,540.09
7.00,200,4506.74,4354,4830,5098,540.02
8.00,200,4497.94,4529,4893,6002,635.18
9.00,300,4575.80,4433,4901,8711,1325.69
10.00,200,4383.20,4473,5004,7310,1028.31
11.00,300,4388.66,4339,4621,5630,726.42
12.00,200,4183.40,4433,4690,6860,1128.76
13.00,300,4229.22,4264,4597,8437,1716.91
14.00,200,4242.13,4319,4720,6665,1110.92
15.00,200,4233.53,4448,4736,7619,720.81
16.00,200,4248.65,4411,4752,5032,555.84
17.00,300,4328.02,4374,4730,7092,576.81
18.00,200,4202.39,4283,4502,4608,411.49
19.00,200,4236.26,4231,4841,5038,656.14
20.00,200,4231.30,4315,4679,4850,609.64
21.00,300,4334.21,4511,4869,5624,1313.31
22.00,200,4317.79,4326,4675,6593,598.48
23.00,200,4447.75,4400,4666,16445,1738.29
24.00,200,4207.65,4223,4734,7077,674.73
25.00,200,4243.38,4413,4627,6928,1109.29
26.00,200,4377.38,4382,4827,5780,592.91
27.00,200,4307.70,4320,4883,6174,1080.22
28.00,300,4176.07,4266,4843,6258,606.40
29.00,200,4411.40,4372,4759,7782,1359.98
30.00,200,4148.69,4366,4712,7780,810.74
31.00,200,4465.76,4461,4772,7398,1294.22
32.00,200,4029.56,4225,4812,5204,530.47
33.00,200,4306.68,4103,4663,5306,675.99
34.00,200,4064.51,4301,4700,5510,643.37
35.00,300,4129.52,4161,4485,5621,523.70
36.00,200,4291.85,4287,4781,6750,1424.87
37.00,200,4182.55,4186,4858,6648,1245.27
38.00,200,4292.58,4307,4776,4898,522.96
39.00,300,4307.75,4356,4781,5330,971.36
40.00,200,4200.17,4284,4756,4822,693.27
41.00,200,4202.53,4193,4883,5543,637.64
42.00,300,4107.00,4200,4678,4811,566.97
43.00,300,4437.25,4263,4794,5498,1658.28
44.00,200,4275.32,4355,5147,6136,993.28
45.00,200,4176.56,4220,4580,8171,787.09
46.00,200,4255.56,4235,4771,8276,775.77
47.00,300,4309.45,4256,4928,5354,588.11
48.00,200,4125.10,4261,4827,4872,1146.69
49.00,200,4006.39,4187,4761,4966,665.60
50.00,300,4319.50,4371,4952,5831,1295.68
51.00,200,4255.12,4370,4829,5498,566.96
52.00,200,4140.21,4326,4726,5011,1017.27
53.00,200,4287.95,4326,4877,6563,1090.88
54.00,300,4074.33,4232,4659,4823,644.61
55.00,200,4210.73,4254,4888,5204,618.88
56.00,200,4200.51,4250,4977,6754,682.70
57.00,300,3990.22,4208,4685,5158,640.74
58.00,200,4274.52,4287,4822,9329,675.09
59.00,200,4048.19,4363,4860,5909,723.84
60.00,300,4363.01,4243,4811,8981,1443.63
61.00,200,4384.08,4343,5038,7616,1261.35
62.00,200,4203.00,4186,4598,7646,1220.15
63.00,200,4291.40,4420,5047,5047,1067.51
64.00,300,4362.12,4318,4886,6787,568.68
65.00,200,4256.12,4308,5085,5360,562.56
66.00,200,4287.69,4300,4738,8504,998.87
67.00,300,4311.54,4299,4842,5410,1209.70
68.00,200,4278.83,4378,4855,5419,503.25
69.00,200,4288.03,4332,4926,5397,672.72
70.00,200,4456.03,4218,4814,6635,1666.31
71.00,300,4251.45,4218,4776,5120,514.62
72.00,200,4253.13,4406,4737,6436,663.22
73.00,200,4217.85,4302,4651,5111,1223.70
74.00,200,4483.66,4398,5027,5095,1061.68
75.00,300,4304.80,4310,4580,5054,524.57
76.00,200,4314.43,4294,4800,5977,729.22
77.00,200,4414.15,4423,4620,7165,582.15
78.00,300,4143.35,4334,4551,4696,507.54
79.00,300,4213.71,4445,4769,5593,535.66
80.00,200,4295.42,4435,4748,4847,439.30
81.00,200,4156.69,4382,4602,5929,615.99
82.00,300,4227.53,4349,4756,4824,468.32
83.00,300,4410.53,4336,4686,6730,1444.57
84.00,200,4342.99,4374,4638,9906,1524.33
85.00,300,4236.54,4441,4610,5742,546.23
86.00,200,4298.71,4445,4802,5030,592.14
87.00,200,4253.97,4289,4685,4977,552.44
88.00,300,4150.79,4355,4646,4791,558.50
89.00,200,4256.42,4265,4496,5371,472.67
90.00,200,4121.59,4336,4821,5054,452.79
91.00,300,4292.99,4415,4704,5372,458.44
92.00,200,4225.09,4377,4855,5376,1016.49
93.00,200,4333.12,4331,4674,4864,373.51
94.00,300,4305.65,4243,4714,5476,497.04
95.00,200,4354.48,4351,4694,5091,484.22
96.00,200,4235.87,4350,4776,5271,617.87
97.00,200,4307.36,4290,4804,5634,507.21
98.00,300,4239.85,4360,4628,5065,1186.09
99.00,200,4296.90,4388,4887,5175,1233.37
100.00,300,4501.75,4237,4892,16450,670.80
101.00,200,4347.97,4373,4733,5857,525.30
