elapsed_seconds,interval_throughput,interval_latency_mean_us,interval_latency_p50_us,interval_latency_p95_us,interval_latency_p99_us,interval_std_dev_us
1.00,200,4245.38,4361,4648,4973,618.63
2.00,200,3988.13,4209,4569,4594,615.60
3.00,300,3832.91,4181,4565,4565,563.35
4.00,200,3916.00,4181,4694,4707,592.00
5.00,300,4131.45,4356,4534,4951,538.96
6.00,200,3968.93,4272,4444,4643,627.51
7.00,300,3974.17,4188,4277,4534,485.05
8.00,200,3962.70,4136,4377,4826,481.42
9.00,300,3927.15,4250,4341,4640,569.75
10.00,200,3950.42,4325,4440,4606,522.87
11.00,300,4183.50,4303,4465,4465,457.22
12.00,200,4036.13,4175,4611,5047,638.24
13.00,300,3988.34,4145,4434,4884,557.27
14.00,200,3803.16,4083,4309,4382,546.47
15.00,200,3993.58,4226,4406,4425,532.85
16.00,300,4141.06,4217,4722,5002,579.25
17.00,200,4010.98,4112,4440,4690,587.23
18.00,300,3868.66,4132,4555,4980,591.69
19.00,200,4017.61,4190,4327,4660,580.88
20.00,300,4077.91,4071,4344,4380,520.53
21.00,200,3987.67,4180,4440,4516,533.72
22.00,300,4003.71,4346,4465,4639,560.07
23.00,200,3922.94,4133,4452,4563,563.49
24.00,300,3976.49,4157,4326,4517,537.97
25.00,200,3965.82,4262,4425,4552,502.42
26.00,200,4014.35,4319,4476,4848,499.79
27.00,200,3980.61,4212,4402,4604,580.56
28.00,300,4166.99,4229,4229,4774,520.74
29.00,200,4079.02,4188,4402,4537,519.17
30.00,300,4051.28,4310,4502,4557,547.17
31.00,200,3961.21,4258,4345,4434,528.94
32.00,300,3776.14,4046,4451,4654,584.53
33.00,200,3997.15,4329,4340,4432,529.11
34.00,300,4004.68,4177,4340,4582,448.47
35.00,200,3973.50,4199,4451,4451,548.87
36.00,300,4060.34,4288,4452,4616,556.99
37.00,200,4082.15,4199,4448,4476,491.97
38.00,200,4063.86,4253,4440,4601,523.52
39.00,300,3995.73,4321,4505,4629,581.86
40.00,200,3938.45,4230,4423,4651,501.04
41.00,300,3977.27,4101,4345,4590,536.51
42.00,200,3839.67,4250,4409,4561,599.74
43.00,300,4042.60,4221,4477,4610,530.41
44.00,200,3960.66,4062,4385,4577,486.06
45.00,300,3992.06,4125,4340,4485,558.52
46.00,200,3904.47,4228,4274,4541,474.31
47.00,300,4043.38,4225,4530,4530,551.73
48.00,200,4062.79,4131,4403,4521,513.41
49.00,300,3926.98,4050,4332,4515,587.31
50.00,200,3827.34,4095,4468,4713,564.57
51.00,300,3989.91,4182,4397,4556,527.53
52.00,200,4005.32,4309,4480,4639,568.10
53.00,300,3963.54,4195,4514,4796,568.96
54.00,200,3950.95,4205,4534,4682,581.07
55.00,300,3864.18,4226,4310,4473,556.26
56.00,200,3921.81,4193,4437,4686,558.66
57.00,300,3823.61,4266,4403,4610,640.97
58.00,200,3948.77,4295,4385,4536,555.58
59.00,200,3970.21,4194,4524,4524,570.72
60.00,300,4117.98,4240,4553,4742,668.48
61.00,200,4043.94,4235,4564,4705,572.15
62.00,300,4103.98,4227,4541,4555,498.47
63.00,300,4022.77,4204,4411,4863,563.79
64.00,300,3921.91,4180,4606,4724,596.66
65.00,200,4006.38,4198,4515,4832,522.73
66.00,300,4094.94,4128,4369,4679,491.01
67.00,200,4125.92,4282,4413,4776,524.46
68.00,300,4139.37,4277,4516,4883,569.65
69.00,200,4019.58,4359,4568,4759,566.75
70.00,300,3910.90,4266,4462,4732,610.67
71.00,200,4014.15,4268,4509,4672,548.31
72.00,300,3947.08,4328,4410,4556,535.51
73.00,200,3839.46,4271,4536,4754,562.53
74.00,300,3992.76,4162,4486,4764,610.21
75.00,200,4078.62,4365,4519,4846,535.10
76.00,300,4197.73,4268,4569,4888,559.25
77.00,200,4081.22,4157,4504,5176,530.37
78.00,300,3994.00,4150,4514,4884,555.80
79.00,200,3990.15,4141,4443,4633,545.78
80.00,300,4152.17,4354,4604,4604,477.66
81.00,200,3941.70,4274,4592,4695,601.05
82.00,300,4019.60,4202,4570,4839,513.66
83.00,200,4047.76,4196,4595,4867,554.09
84.00,200,4021.93,4313,4517,4673,592.93
85.00,300,3918.93,4195,4563,4922,553.68
86.00,200,4109.88,4256,4599,4811,555.35
87.00,300,4027.52,4319,4584,4729,543.96
88.00,200,3958.92,4207,4463,4533,529.38
89.00,300,4085.80,4285,4395,4525,475.16
90.00,200,4261.00,4233,4611,4905,486.13
91.00,300,4099.90,4286,4460,4579,525.96
92.00,300,3980.02,4330,4386,4748,525.23
93.00,200,3895.99,4145,4490,4736,479.11
94.00,200,4000.93,4290,4369,4496,522.46
95.00,300,4077.95,4172,4433,4610,549.61
96.00,300,3938.36,4314,4433,4737,614.63
97.00,300,4061.86,4233,4469,4536,539.33
