elapsed_seconds,interval_throughput,interval_latency_mean_us,interval_latency_p50_us,interval_latency_p95_us,interval_latency_p99_us,interval_std_dev_us
1.00,200,3458.73,3486,4749,4861,683.22
2.00,300,3231.63,3360,3973,4801,643.36
3.00,300,3483.47,3730,4596,4596,667.77
4.00,300,3461.83,3438,4376,4958,610.41
5.00,300,3448.08,3527,4521,4842,614.15
6.00,300,3478.37,3770,4611,4660,618.98
7.00,300,3296.46,3362,4083,4172,527.62
8.00,200,3442.28,3728,4568,4677,653.68
9.00,300,3519.17,3535,4596,4808,622.60
10.00,300,3310.10,3345,4075,4474,643.71
11.00,300,3524.37,3644,4274,4478,607.72
12.00,300,3223.38,3301,3994,4261,591.14
13.00,300,3435.11,3474,4456,4680,626.09
14.00,300,3401.67,3447,4300,4566,640.95
15.00,300,3482.77,3725,4429,4991,606.51
16.00,200,3373.43,3597,4193,4511,597.86
17.00,300,3419.36,3242,4288,4505,673.89
18.00,300,3575.40,3763,4742,5034,671.26
19.00,300,3402.69,3506,4366,4530,615.53
20.00,300,3491.59,3377,4462,4618,699.38
21.00,300,3464.45,3671,4255,4255,555.86
22.00,300,3342.92,3328,4878,4986,719.33
23.00,200,3412.52,3395,4453,4631,640.02
24.00,300,3311.02,3396,4052,4341,596.22
25.00,300,3410.83,3492,4509,4752,628.11
26.00,300,3316.81,3421,4260,4472,589.16
27.00,300,3323.42,3686,4073,4335,528.91
28.00,300,3453.21,3712,4549,4888,663.02
29.00,300,3316.10,3477,4342,4579,626.07
30.00,300,3496.07,3537,4407,4682,635.13
31.00,200,3558.14,3611,4517,4517,542.07
32.00,300,3433.60,3376,4229,4606,606.27
33.00,300,3476.98,3426,4457,4473,619.09
34.00,300,3397.07,3343,4340,4570,651.58
35.00,300,3619.97,3800,4842,5313,616.07
36.00,300,3337.47,3326,4117,4608,675.33
37.00,300,3539.48,3687,4513,4869,642.61
38.00,300,3591.77,3699,4420,4420,615.70
39.00,300,3483.15,3308,3933,4075,576.95
40.00,300,3638.05,3717,4587,4841,619.04
41.00,300,3272.39,3383,3936,4619,607.18
42.00,300,3486.66,3658,4585,4995,650.87
43.00,300,3507.28,3485,4584,4690,622.17
44.00,300,3487.67,3313,4254,4549,583.99
45.00,300,3648.30,3654,4805,4976,636.21
46.00,300,3385.25,3481,4234,4511,593.59
47.00,200,3390.14,3350,4332,4535,665.75
48.00,300,3516.14,3592,4604,4955,676.84
49.00,300,3253.70,3162,4088,4374,618.88
50.00,300,3553.31,3639,4540,4997,659.51
51.00,300,3285.69,3370,4003,4360,564.66
52.00,300,3456.83,3488,4530,4735,695.54
53.00,200,3415.85,3382,4225,4405,623.68
54.00,300,3499.23,3434,4546,4722,700.78
55.00,300,3559.34,3714,4491,4960,609.68
56.00,300,3319.14,3258,4443,4443,569.19
57.00,300,3461.06,3581,4492,4618,660.97
58.00,200,3431.37,3620,4386,4717,683.06
59.00,300,3370.94,3298,4380,4596,623.61
60.00,300,3514.27,3560,4533,4981,696.20
61.00,300,3299.96,3264,4193,4438,594.13
62.00,300,3439.53,3647,4481,4895,688.55
63.00,300,3422.97,3561,4412,4644,645.62
64.00,300,3263.43,3272,4332,4414,695.07
65.00,300,3518.91,3720,4762,4989,708.89
66.00,300,3493.14,3161,3922,4244,581.30
67.00,300,3536.73,3639,4307,4651,571.97
68.00,300,3261.72,3248,4417,4671,680.15
69.00,200,3455.28,3518,4918,4918,748.31
70.00,300,3547.40,3559,4242,4617,619.61
71.00,300,3241.11,3240,4177,4625,623.56
72.00,300,3373.47,3495,4395,4560,614.69
73.00,300,3416.25,3533,4090,4572,583.59
74.00,300,3428.95,3888,4844,4906,700.03
75.00,300,3526.96,3628,4342,4478,614.83
76.00,300,3234.29,3243,4105,4344,601.78
77.00,300,3512.36,3684,4406,4621,587.33
78.00,300,3404.33,3382,4442,4512,589.78
79.00,200,3537.00,3766,4553,4667,676.09
80.00,300,3544.14,3614,4237,4673,565.52
81.00,300,3287.53,3241,4062,4536,562.65
82.00,300,3577.44,3718,4620,4917,686.96
83.00,300,3438.62,3358,3991,4372,590.61
84.00,300,3402.08,3674,4365,4557,572.23
85.00,300,3393.56,3394,4106,4439,623.56
86.00,300,3507.39,3367,4436,4461,660.73
87.00,200,3485.70,3450,4395,4633,627.87
88.00,400,3346.43,3405,4249,4447,579.57
89.00,200,3483.74,3581,4399,4399,569.65
90.00,300,3491.62,3431,4351,4527,541.13
91.00,300,3423.37,3440,4197,4608,605.83
92.00,300,3463.84,3512,4314,4348,572.57
93.00,300,3404.98,3313,4277,4505,618.65
94.00,300,3571.71,3615,4473,4624,616.22
95.00,300,3292.68,3343,4148,4685,628.32
96.00,300,3425.88,3682,4501,4548,677.42
97.00,300,3465.33,3523,4336,4682,617.79
98.00,200,3341.93,3382,4383,4587,645.76
99.00,300,3355.72,3463,4383,4422,591.51
100.00,300,3447.92,3297,4054,4375,610.79
101.00,300,3395.14,3439,4376,4510,638.02
102.00,300,3355.38,3487,4304,4465,603.22
103.00,300,3508.01,3506,4444,4479,631.66
104.00,300,3382.95,3621,4303,4377,580.00
105.00,300,3287.32,3331,4191,4357,564.30
106.00,300,3551.86,3651,4288,4459,626.54
107.00,300,3365.19,3443,4394,4506,657.60
108.00,200,3297.55,3479,4269,4269,623.80
109.00,300,3448.76,3423,4261,4536,612.20
110.00,300,3423.98,3405,4469,4469,698.40
111.00,300,3388.31,3368,4402,4632,603.49
112.00,300,3387.13,3406,4273,4534,590.11
113.00,300,3468.41,3726,4520,4703,641.44
114.00,300,3430.84,3457,4512,4699,648.04
115.00,300,3316.21,3367,4120,4603,542.02
116.00,300,3471.59,3586,4273,4475,569.91
117.00,300,3266.30,3356,4459,4525,641.49
118.00,300,3447.32,3406,4544,4877,650.13
119.00,300,3378.64,3394,4317,4545,622.79
120.00,200,3379.93,3350,4328,4557,696.18
121.00,300,3614.66,3690,4348,4522,545.33
122.00,300,3348.65,3251,4051,4313,603.93
123.00,300,3420.64,3636,4440,4676,638.60
124.00,300,3370.88,3351,4251,4585,631.88
125.00,300,3494.93,3506,4391,4558,641.84
126.00,300,3472.41,3657,4315,4534,627.87
127.00,300,3225.72,3230,4124,4226,638.24
128.00,300,3460.09,3624,4361,4583,639.71
129.00,300,3379.66,3421,4442,4442,645.39
130.00,300,3439.89,3518,4406,4696,642.28
131.00,300,3470.50,3646,4351,4517,550.11
132.00,300,3275.80,3338,4049,4424,609.86
133.00,300,3461.27,3670,3774,3774,566.88
134.00,300,3343.19,3345,4297,4447,562.97
135.00,300,3560.69,3616,4586,4586,625.66
136.00,300,3295.64,3358,4233,4335,550.93
137.00,300,3451.72,3507,4244,4682,594.35
138.00,200,3334.40,3395,4363,4423,592.75
139.00,400,3228.85,3265,4122,4294,663.00
140.00,200,3602.55,3463,4285,4975,640.72
141.00,300,3375.17,3329,4308,4429,664.44
142.00,300,3307.80,3472,4388,4649,618.86
143.00,300,3383.63,3366,4388,4388,624.65
144.00,300,3074.71,3163,4102,4377,669.70
145.00,300,3440.23,3628,4323,4715,647.40
146.00,300,3405.14,3413,4454,4591,594.77
147.00,300,3376.01,3691,4213,4515,576.41
148.00,300,3388.44,3439,4274,4524,620.11
149.00,300,3142.08,3194,4401,4461,668.72
150.00,200,3348.38,3326,4180,4377,618.73
151.00,300,3413.79,3453,4268,4481,594.91
152.00,200,3602.37,3773,4402,4649,579.67
153.00,300,3395.46,3483,4131,4547,549.71
154.00,300,3432.51,3442,4500,5048,700.22
155.00,300,3328.94,3363,4376,4501,637.30
156.00,300,3380.84,3311,4105,4380,578.72
157.00,300,3438.13,3738,4368,4457,563.84
158.00,300,3289.24,3333,4227,4387,612.48
159.00,300,3461.59,3395,4636,4874,648.01
160.00,200,3539.18,3715,4366,4709,511.04
161.00,300,3351.30,3159,4308,4522,553.90
162.00,300,3483.19,3639,4617,4847,651.74
163.00,300,3275.66,3296,4278,4278,628.20
164.00,300,3523.05,3329,4524,5005,655.89
165.00,300,3352.48,3360,4432,4625,626.09
166.00,200,3501.76,3306,4417,4827,644.93
167.00,300,3347.03,3485,4420,4688,616.46
168.00,200,3501.83,3403,4324,4387,631.72
169.00,300,3462.84,3553,4329,4813,619.60
170.00,200,3492.17,3323,4266,4529,569.78
171.00,300,3403.27,3274,4043,4484,612.08
172.00,300,3569.86,3614,4563,5006,561.98
173.00,300,3492.57,3601,4519,4972,629.52
174.00,300,3323.91,3505,4477,4807,632.50
175.00,300,3348.46,3209,4319,4486,614.13
176.00,300,3404.16,3402,4392,4506,634.59
177.00,300,3600.48,3660,4309,4758,609.55
178.00,300,3339.04,3253,4079,4239,577.73
179.00,300,3569.82,3555,4423,5045,648.93
180.00,300,3457.02,3601,4249,4249,673.62
181.00,300,3375.96,3478,4361,4988,620.57
182.00,300,3433.19,3658,4366,4586,648.51
183.00,200,3420.93,3233,4135,4327,641.85
184.00,300,3410.45,3436,4688,4949,723.87
185.00,300,3392.13,3222,4374,4627,695.53
186.00,300,3384.51,3301,4323,4910,641.45
187.00,300,3236.08,3449,3944,4344,615.96
188.00,300,3500.38,3422,4602,4926,652.37
189.00,300,3429.06,3424,4372,4743,608.42
190.00,300,3239.50,3277,4236,4385,620.15
191.00,300,3400.32,3457,4359,4873,698.29
192.00,300,3269.87,3340,4041,4412,630.43
193.00,300,3235.99,3400,4428,4592,682.75
194.00,300,3563.44,3607,4515,4641,607.07
195.00,300,3519.82,3404,4260,4513,568.91
196.00,300,3464.02,3590,4584,4917,646.27
197.00,300,3212.52,3227,4040,4253,595.82
198.00,300,3430.90,3378,4430,4939,697.36
199.00,300,3261.57,3448,4310,4456,600.67
200.00,300,3388.58,3315,4060,4362,632.41
201.00,300,3568.26,3617,4323,4323,558.57
202.00,300,3276.49,3221,4022,4378,559.66
203.00,300,3387.74,3375,4282,4532,613.61
204.00,300,3298.93,3482,4474,4637,678.98
205.00,200,3343.54,3449,3928,4196,545.12
206.00,300,3540.25,3511,4302,4593,660.42
207.00,300,3251.43,3331,4053,4449,590.98
208.00,300,3463.05,3695,4305,4305,581.06
209.00,300,3575.70,3608,4327,4531,565.09
210.00,300,3388.06,3458,3967,4484,532.98
211.00,300,3404.18,3577,4259,4629,597.58
212.00,300,3319.67,3386,4267,4562,681.10
213.00,300,3141.93,3187,3843,4079,503.10
214.00,300,3511.49,3644,4385,4714,653.41
215.00,300,3610.27,3373,4248,4443,694.05
216.00,300,3475.86,3629,4330,4437,600.40
217.00,300,3293.93,3238,4077,4463,667.45
218.00,300,3105.17,3203,3968,4310,651.90
219.00,300,3510.25,3396,4447,4497,703.54
220.00,200,3351.59,3350,3929,4398,529.14
221.00,300,3479.27,3681,4558,4561,685.98
222.00,300,3246.48,3400,4016,4024,627.25
223.00,300,3343.65,3200,4240,4767,667.07
224.00,300,3468.20,3411,4352,4486,646.67
225.00,300,3169.14,3298,3878,3961,530.85
226.00,300,3471.61,3505,4494,4536,692.26
227.00,300,3115.18,3200,3886,4587,614.90
228.00,300,3487.37,3660,4312,4696,660.30
229.00,300,3313.30,3312,4026,4026,538.93
230.00,300,3262.67,3300,4284,4408,573.86
231.00,300,3403.01,3346,4323,4371,648.33
232.00,300,3066.11,3244,3870,4020,609.43
233.00,300,3441.37,3427,4318,4580,671.72
234.00,300,3319.16,3358,4078,4828,633.77
235.00,300,3567.03,3582,4344,4791,647.08
236.00,300,3330.13,3408,4220,4396,587.69
237.00,200,3120.79,3228,3873,4029,549.99
238.00,400,3408.54,3381,4386,4530,659.27
239.00,200,3155.63,3157,3831,3901,521.36
240.00,300,3455.54,3614,4356,4389,675.99
241.00,300,3245.65,3189,3883,4917,603.48
242.00,300,3363.73,3473,4428,4507,647.08
243.00,300,3251.63,3367,4092,4300,630.35
244.00,300,3070.84,3176,3719,3948,571.66
245.00,300,3466.89,3756,4291,4565,657.44
246.00,300,3142.21,3228,3982,3982,603.92
247.00,300,3447.94,3608,4361,4435,663.68
248.00,300,3271.09,3308,3939,4042,595.02
249.00,300,3157.76,3198,4041,4933,669.41
250.00,300,3499.87,3757,4432,4971,664.85
251.00,300,3244.04,3122,3964,3976,594.15
252.00,300,3563.62,3734,4972,5115,782.38
253.00,300,3285.33,3293,3990,4126,567.28
254.00,300,3390.20,3276,4476,5041,783.69
255.00,300,3379.50,3306,4000,4757,613.89
256.00,300,3043.20,3189,3811,4015,542.88
257.00,300,3548.45,3771,4796,5025,731.55
258.00,200,3309.53,3383,3983,4119,496.89
259.00,300,3343.52,3877,4631,4819,657.01
260.00,300,3298.94,3281,3886,4369,529.68
261.00,300,3282.84,3350,4391,4952,679.14
262.00,300,3515.98,3625,4448,4510,621.99
263.00,300,3172.22,3126,3871,3945,577.11
264.00,300,3528.60,3541,4491,4839,692.77
265.00,300,3206.11,3227,3933,4395,599.31
266.00,300,3450.98,3307,5005,5008,712.12
267.00,300,3424.89,3384,4400,4400,650.36
268.00,300,3110.13,3354,3967,3967,629.83
269.00,200,3556.39,3689,4356,4938,731.81
270.00,300,3169.73,3131,3921,4030,613.82
271.00,300,3437.39,3419,4857,5131,755.84
272.00,300,3162.02,3257,3859,4084,548.58
273.00,300,3427.40,3417,4724,5020,726.94
274.00,300,3383.71,3380,4027,4348,623.86
275.00,300,3173.47,3237,3870,4304,571.77
276.00,300,3254.68,3887,4480,4844,571.26
277.00,300,3097.41,3284,3847,3847,544.30
278.00,300,3641.96,3804,4949,5108,851.17
279.00,300,3243.48,3429,4240,4366,609.25
280.00,300,3166.66,3135,3782,3782,489.83
281.00,200,3712.13,3770,4425,4788,626.54
282.00,300,3141.22,3224,3888,4248,726.52
283.00,300,3664.18,3333,4818,4926,629.65
284.00,300,3095.77,3142,3909,4015,589.15
285.00,300,3184.99,3239,3905,4849,667.99
286.00,300,3403.72,3311,4546,5084,722.46
287.00,300,3267.62,3248,4091,4262,628.34
