elapsed_seconds,interval_throughput,interval_latency_mean_us,interval_latency_p50_us,interval_latency_p95_us,interval_latency_p99_us,interval_std_dev_us
1.00,200,3619.43,3591,4735,5127,684.62
2.00,300,3335.98,3349,4183,4783,660.27
3.00,300,3599.53,3755,4635,4715,660.49
4.00,300,3460.50,3465,4339,4903,621.61
5.00,300,3480.61,3579,4483,4815,630.56
6.00,300,3725.03,3841,4643,4815,618.80
7.00,300,3358.96,3395,4037,4315,543.99
8.00,200,3667.65,3779,4643,4767,661.18
9.00,300,3592.44,3609,4671,6875,849.93
10.00,300,3367.91,3457,4179,4547,642.95
11.00,300,3620.16,3745,4443,4687,600.38
12.00,300,3363.38,3405,4061,4299,550.89
13.00,300,3664.30,3761,4639,4807,651.57
14.00,300,3361.40,3379,4355,4707,601.77
15.00,300,3308.40,3407,4187,4579,666.79
16.00,200,3585.91,3723,4531,4603,635.66
17.00,300,3432.98,3439,4111,4327,548.12
18.00,300,3605.76,3691,4623,4771,650.25
19.00,300,3443.81,3537,4295,4731,612.87
20.00,300,3589.62,3731,4455,5271,813.15
21.00,300,3522.94,3695,4219,4731,577.83
22.00,300,3468.78,3527,4057,4219,497.48
23.00,200,3669.74,3671,4663,4779,657.13
24.00,300,3587.25,3553,4491,4711,580.00
25.00,300,3566.90,3701,4407,4787,577.95
26.00,300,3614.29,3739,4439,4723,561.76
27.00,300,3304.81,3369,4063,4607,633.20
28.00,300,3483.24,3657,4503,4755,683.60
29.00,300,3396.30,3363,4167,4435,1323.62
30.00,300,3401.11,3457,4379,5751,905.46
31.00,200,3478.72,3409,4335,4555,590.09
32.00,300,3334.15,3385,3967,4571,558.70
33.00,300,3470.33,3553,4399,4635,647.47
34.00,300,3300.51,3339,4183,4367,626.38
35.00,300,3354.31,3411,4327,4515,665.14
36.00,300,3489.90,3491,4379,4723,569.75
37.00,300,3424.61,3339,4247,5503,1654.01
38.00,300,3635.91,3747,4539,4731,673.81
39.00,300,3335.97,3355,4255,4603,602.41
40.00,300,3510.11,3621,4407,4687,676.71
41.00,300,3383.33,3413,4227,4555,622.30
42.00,300,3351.09,3405,4331,4535,642.59
43.00,300,3429.83,3507,4359,4535,677.49
44.00,300,3469.43,3437,4763,7275,979.64
45.00,300,3564.60,3717,4527,4823,683.66
46.00,300,3356.50,3423,4031,4231,582.22
47.00,200,3367.66,3469,4119,4487,626.01
48.00,300,3543.20,3505,4527,4843,661.16
49.00,300,3249.47,3291,4025,4535,615.99
50.00,300,3534.98,3679,4535,4751,690.96
51.00,300,3352.17,3379,4295,4735,628.74
52.00,300,3420.82,3493,4227,4571,720.21
53.00,300,3342.79,3333,4359,4831,649.58
54.00,300,3258.38,3331,4191,4935,664.92
55.00,300,3589.54,3733,4467,4807,637.73
56.00,300,3307.84,3369,4447,5095,693.52
57.00,300,3553.59,3607,4455,4795,628.75
58.00,300,3271.96,3303,4171,4599,631.95
59.00,300,3397.63,3409,4279,4707,606.81
60.00,300,3483.66,3657,4363,4607,654.38
61.00,300,3353.96,3389,4071,4411,553.48
62.00,300,3531.38,3641,4567,4887,679.08
63.00,300,3326.48,3347,4099,4451,604.48
64.00,300,3429.68,3495,4395,4795,667.09
65.00,300,3417.34,3473,4395,4695,652.34
66.00,300,3413.31,3529,4319,4587,657.22
67.00,300,3414.19,3387,4391,4703,650.66
68.00,300,3389.48,3439,4231,4987,645.85
69.00,200,3414.93,3473,4451,4835,695.52
70.00,300,3476.38,3447,4371,5119,1074.49
71.00,300,3351.69,3387,4415,4963,634.94
72.00,300,3618.26,3765,4523,4779,636.77
73.00,300,3399.76,3521,4231,4499,615.48
74.00,300,3533.21,3553,4431,4575,620.07
75.00,300,3289.85,3365,4203,4619,610.28
76.00,300,3540.97,3701,4359,4715,557.14
77.00,300,3469.74,3473,4407,4579,603.73
78.00,300,3413.94,3455,4115,4727,607.45
79.00,200,3706.53,3833,4575,4763,651.55
80.00,300,3402.90,3369,4307,4711,565.35
81.00,300,3503.16,3511,4399,4719,611.54
82.00,300,3572.50,3637,4447,4731,603.99
83.00,300,3417.41,3467,4203,4443,536.18
84.00,300,3614.52,3691,4503,4759,611.73
85.00,300,3447.25,3469,4215,4783,562.67
86.00,300,3580.08,3551,4619,4811,647.07
87.00,200,3515.39,3691,4435,4899,688.00
88.00,400,3229.88,3327,4251,4495,655.30
89.00,200,4014.74,3771,4795,17055,3140.64
90.00,300,3308.35,3335,4251,4571,593.52
91.00,300,3497.53,3617,4511,4863,652.26
92.00,300,3437.48,3517,4423,4711,688.57
93.00,300,3325.21,3425,4017,4219,573.34
94.00,300,3667.60,3737,4459,4731,572.92
95.00,300,3334.05,3397,4067,4879,614.18
96.00,300,3359.27,3415,4355,4647,693.59
97.00,300,3225.80,3293,4127,4379,620.48
98.00,300,3395.43,3427,4479,5019,693.14
99.00,300,3332.10,3339,4311,4487,628.24
100.00,300,3317.13,3403,4043,4499,607.57
101.00,300,3569.52,3567,4527,4791,674.30
102.00,300,3273.43,3399,4103,4707,658.76
103.00,300,3363.55,3441,4331,4519,650.07
104.00,300,3368.08,3401,4287,4479,636.74
105.00,300,3409.29,3495,4279,4607,629.94
106.00,300,3545.08,3623,4379,4655,561.72
107.00,300,3349.42,3349,4035,4571,554.80
108.00,200,3512.82,3587,4443,4571,636.48
109.00,300,3472.98,3587,4315,4531,633.67
110.00,300,3359.22,3467,4219,4407,641.97
111.00,300,3567.40,3679,4583,4887,654.53
112.00,300,3481.96,3507,4163,4955,799.09
113.00,300,3500.57,3583,4407,4707,642.28
114.00,300,3425.26,3441,4443,4687,668.31
115.00,300,3470.14,3577,4291,4763,603.77
116.00,300,3418.19,3459,4335,4563,619.81
117.00,300,3289.14,3381,4099,4375,616.23
118.00,300,3623.51,3617,4471,4811,627.72
119.00,300,3320.92,3321,4089,5007,611.47
120.00,200,3363.69,3449,4085,4243,561.70
121.00,300,3513.02,3515,4487,4699,660.00
122.00,300,3393.76,3429,4115,4367,564.20
123.00,300,3512.72,3555,4523,4783,674.28
124.00,300,3340.90,3377,4287,4427,593.05
125.00,300,3340.52,3439,4323,4743,672.02
126.00,300,3359.04,3391,4339,4679,663.56
127.00,300,3436.74,3513,4235,4683,614.07
128.00,300,3542.39,3765,4439,4743,640.49
129.00,300,3310.93,3371,4055,4415,611.79
130.00,300,3566.28,3601,4379,4783,598.43
131.00,300,3475.85,3523,4155,4435,545.32
132.00,300,3366.89,3465,4239,4523,621.57
133.00,300,3330.33,3357,4191,4719,616.19
134.00,300,3333.76,3381,4095,4767,637.70
135.00,300,3397.93,3371,4467,4759,685.37
136.00,300,3376.77,3385,4431,5075,728.19
137.00,300,3534.81,3647,4395,4779,628.12
138.00,200,3541.86,3659,4363,4531,550.67
139.00,400,3327.05,3403,4267,4591,620.45
140.00,200,3540.63,3647,4471,4971,640.77
141.00,300,3365.01,3369,4255,4459,603.26
142.00,300,3448.80,3545,4419,4591,659.14
143.00,300,3424.15,3429,4291,4551,618.96
144.00,300,3495.25,3647,4367,4815,659.18
145.00,300,3431.92,3499,4299,4479,641.31
146.00,300,3489.16,3461,4343,5491,1575.08
147.00,300,3530.06,3559,4491,4923,651.93
148.00,300,3328.12,3403,4067,4291,587.04
149.00,300,3479.02,3625,4375,4623,596.54
150.00,300,3325.78,3359,4279,4671,612.02
151.00,300,3357.61,3459,4231,4507,640.25
