elapsed_seconds,interval_throughput,interval_latency_mean_us,interval_latency_p50_us,interval_latency_p95_us,interval_latency_p99_us,interval_std_dev_us
1.00,200,4243.80,4323,4599,5223,616.62
2.00,200,4022.32,4167,4483,4679,624.48
3.00,300,3963.29,4195,4523,4651,567.84
4.00,200,4035.49,4271,4567,5235,603.46
5.00,300,4198.04,4371,4639,4919,565.20
6.00,200,4009.89,4327,4587,4679,616.39
7.00,300,4097.03,4259,4471,4575,507.35
8.00,200,4104.12,4239,4531,5039,500.27
9.00,300,4056.82,4271,4511,4803,577.28
10.00,200,4032.38,4235,4423,4691,523.57
11.00,300,4057.53,4275,4511,4731,540.39
12.00,200,4131.74,4283,4659,5959,594.95
13.00,300,4167.68,4247,4643,5423,1312.79
14.00,200,4107.43,4203,4583,4779,436.40
15.00,200,4068.96,4223,4479,4679,499.26
16.00,300,4106.79,4227,4563,4783,472.84
17.00,200,4062.86,4291,4607,4695,590.62
18.00,300,4105.00,4307,4583,4775,544.37
19.00,200,3962.04,4235,4471,4819,583.37
20.00,300,3986.75,4183,4455,4663,533.94
21.00,200,3997.47,4247,4575,5095,604.18
22.00,300,4102.19,4283,4551,4731,520.75
23.00,200,4061.97,4287,4567,5619,663.78
24.00,300,4059.43,4267,4507,4691,547.47
25.00,200,4025.97,4267,4503,5003,618.56
26.00,300,4049.72,4311,4647,5127,715.94
27.00,200,4124.61,4335,4667,6015,648.16
28.00,300,4065.41,4339,4543,4743,597.37
29.00,200,4046.26,4299,4471,4659,559.45
30.00,300,4022.39,4251,4459,4683,540.93
31.00,200,4024.26,4223,4523,4767,537.13
32.00,300,4152.82,4263,4471,4759,412.77
33.00,200,4027.60,4243,4459,4759,572.55
34.00,300,4034.29,4215,4479,4575,497.29
35.00,200,4105.57,4243,4603,4691,481.99
36.00,300,4086.97,4219,4463,4599,466.16
37.00,200,4071.49,4259,4583,4655,532.47
38.00,200,4171.64,4299,4563,4663,449.08
39.00,300,4036.77,4271,4503,4631,566.79
40.00,200,4088.09,4271,4515,4623,509.70
41.00,300,4083.16,4251,4507,5299,860.42
42.00,200,4076.91,4179,4463,4619,413.53
43.00,300,4022.09,4247,4463,4519,554.38
44.00,200,4078.80,4283,4471,4567,515.04
45.00,300,4088.41,4299,4515,4643,536.05
46.00,200,4089.80,4223,4491,4559,476.24
47.00,300,3975.49,4115,4519,4631,531.28
48.00,200,4124.25,4259,4711,4803,529.84
49.00,300,4092.20,4255,4671,4823,573.06
50.00,200,3995.64,4231,4575,4723,571.95
51.00,300,4028.31,4235,4467,4587,544.71
52.00,200,4131.84,4263,4495,4671,460.84
53.00,300,4145.94,4347,4575,4723,525.00
54.00,200,4147.79,4343,4567,4699,1151.65
55.00,300,4028.56,4231,4519,4707,550.57
56.00,200,4031.82,4191,4391,4787,477.83
57.00,300,4043.52,4291,4491,4679,558.14
58.00,200,4188.95,4391,4535,4599,511.02
59.00,200,4097.90,4359,4559,4687,573.43
60.00,300,4132.74,4295,4471,4591,476.39
61.00,200,4078.51,4275,4511,5019,550.39
62.00,300,4082.16,4295,4511,4675,535.07
63.00,200,4047.91,4307,4491,4683,562.44
64.00,300,4026.44,4259,4471,4567,550.76
65.00,200,4180.52,4227,4527,7251,1061.36
66.00,300,4040.81,4215,4399,4519,477.36
67.00,200,3949.30,4171,4419,4675,550.71
68.00,300,4049.71,4283,4527,4627,570.82
69.00,200,4068.05,4339,4599,4815,605.10
70.00,300,4085.60,4283,4479,4679,513.01
71.00,200,3952.49,4223,4439,4507,568.81
72.00,300,4061.33,4243,4459,4543,492.48
73.00,200,4026.78,4299,4479,4531,569.68
74.00,300,4072.17,4287,4559,4659,544.03
75.00,200,4134.57,4303,4595,4823,537.15
76.00,300,4142.65,4255,4515,5279,868.74
77.00,200,3986.64,4179,4363,4499,490.35
78.00,300,4109.22,4231,4483,4979,638.72
79.00,200,4080.59,4251,4483,4743,594.50
80.00,300,4027.97,4335,4583,4711,612.19
81.00,200,4117.30,4291,4583,4703,517.73
82.00,300,4099.08,4271,4543,4631,497.11
83.00,200,4112.51,4251,4519,5071,522.18
84.00,200,4063.43,4219,4391,4603,452.79
85.00,300,4031.20,4267,4479,4611,556.64
86.00,200,4105.25,4335,4583,4827,569.01
87.00,300,4049.80,4271,4563,4735,556.79
88.00,200,4064.85,4255,4567,4791,540.17
89.00,300,4011.87,4259,4547,4771,580.46
90.00,200,3964.47,4259,4583,4663,627.86
91.00,300,3964.38,4239,4499,4627,602.23
92.00,300,4044.77,4299,4615,5063,611.85
93.00,200,4169.09,4291,4555,4695,455.28
94.00,200,4081.59,4291,4587,4747,549.88
95.00,300,4046.05,4219,4499,4767,1325.27
96.00,200,3996.26,4203,4519,4831,542.61
97.00,300,3944.82,4131,4527,4631,590.74
98.00,200,4015.53,4203,4535,4775,535.71
99.00,300,4143.51,4355,4735,5019,577.75
100.00,200,4121.98,4287,4603,4803,517.13
101.00,300,4059.63,4255,4547,4615,528.36
102.00,200,4005.93,4187,4455,4595,513.52
103.00,300,3888.61,4107,4419,4623,592.38
104.00,300,4008.51,4203,4451,4675,940.72
105.00,200,4024.18,4243,4479,4679,533.44
106.00,300,3999.29,4215,4599,4743,570.23
107.00,200,3966.61,4175,4483,4763,615.62
108.00,300,4021.45,4247,4535,4631,553.38
109.00,200,4062.20,4259,4583,5319,663.63
110.00,300,4020.89,4259,4531,4659,604.91
111.00,200,4036.48,4279,4599,4887,680.19
112.00,300,4039.72,4287,4555,4923,654.04
113.00,200,3995.30,4211,4435,4643,543.48
114.00,300,4000.28,4215,4439,4763,566.48
115.00,200,4069.44,4295,4567,5275,598.16
116.00,300,4038.61,4247,4615,7635,1349.93
117.00,200,3885.22,4139,4431,4807,611.84
118.00,300,3828.08,4013,4331,4527,551.84
119.00,300,3934.78,4179,4475,4711,576.06
120.00,200,4188.27,4331,4671,4959,502.27
121.00,200,4203.48,4363,4735,4919,544.39
122.00,300,4072.81,4271,4495,4731,556.90
123.00,200,4043.70,4251,4495,4783,539.55
124.00,300,3979.01,4271,4631,4915,739.84
125.00,200,3987.90,4271,4519,4759,605.04
126.00,300,4020.37,4259,4523,4915,575.85
127.00,200,4131.19,4291,4499,4623,477.25
128.00,300,4192.76,4335,4571,4651,451.95
129.00,200,4140.24,4339,4631,4907,543.91
130.00,300,4045.27,4223,4643,5099,685.08
131.00,200,3947.84,4203,4475,4587,577.46
132.00,300,3987.68,4207,4415,4747,536.44
133.00,200,4059.51,4235,4555,5051,682.31
134.00,300,4019.43,4267,4599,4711,580.45
135.00,200,3970.29,4243,4539,4871,621.13
136.00,300,4108.86,4315,4603,4731,557.37
137.00,200,4085.98,4327,4559,4667,576.48
138.00,300,4091.36,4287,4571,4843,558.47
139.00,200,4112.32,4303,4483,4647,509.50
140.00,300,4058.80,4271,4519,4795,562.30
141.00,200,4154.32,4295,4531,4923,501.50
142.00,300,4069.77,4283,4583,4803,557.62
143.00,200,4092.99,4303,4495,4627,532.92
144.00,300,4026.53,4279,4519,4731,587.34
145.00,200,4245.30,4383,4615,4791,470.61
146.00,200,4028.68,4275,4543,4911,588.94
147.00,300,4095.26,4303,4547,4679,532.33
148.00,200,4100.27,4315,4539,4687,540.32
149.00,300,4054.35,4259,4459,4587,520.68
150.00,200,4141.75,4335,4599,4719,542.66
151.00,300,4024.06,4243,4467,4615,531.66
152.00,200,3983.45,4259,4523,4643,583.43
153.00,300,4011.49,4263,4507,4883,602.82
154.00,200,3868.41,4215,4499,4771,628.81
155.00,300,3999.94,4279,4503,4635,588.95
156.00,200,4133.32,4331,4535,4739,523.39
157.00,300,4042.00,4247,4487,4787,542.97
158.00,200,3931.95,4183,4387,4615,581.02
159.00,300,4074.51,4259,4463,4643,504.78
160.00,200,4070.15,4339,4563,4839,599.29
161.00,300,4066.64,4335,4595,4763,595.34
162.00,200,4044.29,4295,4559,4655,564.63
163.00,300,4024.52,4267,4543,4683,567.79
164.00,200,4069.78,4295,4527,5131,621.75
165.00,300,4001.96,4239,4507,4783,567.10
166.00,200,4005.13,4199,4579,4719,579.02
167.00,300,4166.07,4327,4599,4723,497.67
168.00,200,4101.48,4339,4603,4767,585.86
169.00,300,4115.28,4303,4659,5223,1013.01
170.00,200,4048.74,4219,4475,4775,505.09
171.00,300,4112.38,4183,4419,4791,2720.48
172.00,200,3918.28,4089,4331,4447,492.94
173.00,300,3845.54,4093,4375,4527,575.95
174.00,200,4031.30,4255,4611,4743,577.02
175.00,300,4110.76,4351,4671,4831,581.33
176.00,200,4094.88,4347,4623,4751,584.22
177.00,300,4010.01,4259,4495,4767,622.57
178.00,200,4045.43,4243,4523,5691,733.71
179.00,300,4025.42,4167,4399,4547,442.74
180.00,200,4139.81,4267,4467,4771,465.81
181.00,300,4108.03,4327,4507,4659,531.59
182.00,200,4043.11,4275,4455,4591,543.90
183.00,300,4036.05,4271,4471,4595,543.80
184.00,200,4058.86,4271,4511,4567,523.26
185.00,300,4020.78,4255,4499,4615,556.49
186.00,200,4185.99,4275,4595,5895,1468.68
187.00,300,3967.80,4163,4467,4663,599.28
188.00,200,4020.01,4183,4415,4479,480.52
189.00,300,4161.26,4275,4595,5211,1353.74
190.00,200,4054.62,4235,4463,4571,484.47
191.00,300,4003.71,4207,4411,4575,522.37
192.00,200,4130.16,4279,4515,4667,471.16
193.00,200,4267.53,4279,4619,8839,1614.18
194.00,300,4082.19,4267,4595,4671,562.71
195.00,200,4072.75,4267,4539,4699,540.33
196.00,300,3960.02,4231,4531,4671,597.32
197.00,200,4177.45,4295,4599,6215,1664.44
198.00,300,4026.67,4199,4579,4895,619.88
199.00,300,3857.00,4087,4319,4487,592.33
200.00,200,3862.91,4075,4443,4619,592.36
201.00,300,4049.18,4263,4555,4855,571.65
202.00,200,4222.56,4367,4779,4879,525.82
203.00,300,4031.43,4247,4603,4855,593.07
204.00,200,4277.49,4283,4535,12407,2304.81
205.00,200,3976.22,4215,4447,4631,558.41
206.00,300,4075.97,4187,4527,4663,473.98
207.00,200,4010.01,4199,4431,4515,513.10
208.00,300,4225.14,4303,4667,5315,795.33
209.00,200,4066.51,4271,4519,4607,537.99
210.00,300,4032.47,4247,4547,4679,559.28
211.00,200,4189.53,4359,4595,4731,503.72
212.00,300,4169.02,4287,4527,4683,431.38
213.00,200,4085.51,4255,4539,4871,542.41
214.00,200,4085.89,4299,4535,4639,545.38
215.00,300,4166.59,4347,4583,4707,514.58
