elapsed_seconds,interval_throughput,interval_latency_mean_us,interval_latency_p50_us,interval_latency_p95_us,interval_latency_p99_us,interval_std_dev_us
1.00,200,3912.04,4219,4470,4692,611.14
2.00,200,3940.99,4101,4424,4647,605.66
3.00,200,3904.58,4016,4576,4742,537.70
4.00,200,4039.10,4210,4481,5065,586.70
5.00,300,4060.29,4346,4539,4828,556.98
6.00,200,4006.52,4274,4558,4662,603.61
7.00,300,4128.21,4180,4379,4660,485.42
8.00,200,3905.66,4188,4451,4957,488.67
9.00,300,4022.97,4153,4505,4704,554.81
10.00,200,4027.28,4127,4394,4579,521.23
11.00,300,3905.54,4046,4405,4574,670.44
12.00,200,3783.13,4111,4463,4567,521.03
13.00,300,4232.65,4107,4518,4845,3019.06
14.00,200,3995.76,4112,4442,4442,474.84
15.00,200,3812.16,4109,4384,4412,512.03
16.00,300,3954.34,4052,4344,4396,525.26
17.00,200,3814.83,4143,4491,4651,617.36
18.00,300,3984.94,4204,4486,4490,552.18
19.00,200,3988.80,4254,4368,4766,521.35
20.00,300,3869.51,4084,4447,4447,509.20
21.00,200,3965.80,4161,4431,4603,515.84
22.00,300,3845.51,4145,4316,4425,650.53
23.00,200,3975.55,4179,4402,4801,633.39
24.00,300,3886.56,4114,4352,4588,541.38
25.00,200,3907.87,4040,4368,4673,517.21
26.00,300,3999.86,4175,4251,4469,430.66
27.00,200,4011.13,4225,4313,4541,515.12
28.00,200,3942.98,4204,4446,4705,533.77
29.00,200,3870.22,4164,4421,4517,502.90
30.00,300,3942.85,4058,4376,4552,489.01
31.00,200,3918.82,4054,4344,4344,503.61
32.00,300,4023.70,4047,4564,11250,1527.25
33.00,200,4025.02,4187,4367,4619,580.24
34.00,300,4075.26,4111,4387,4518,439.48
35.00,200,3931.96,4169,4442,4527,531.52
36.00,300,3914.56,4177,4399,4797,525.82
37.00,200,3956.07,4087,4429,4625,561.31
38.00,300,3926.68,4166,4449,4742,548.83
39.00,300,3830.98,4135,4339,4461,587.59
40.00,200,3853.61,4109,4440,4560,579.29
41.00,300,3993.10,4104,4400,4826,1225.12
42.00,200,3857.62,4133,4207,4447,439.99
43.00,300,3944.58,4131,4433,4433,566.20
44.00,200,4008.66,4262,4420,4681,584.67
45.00,300,4066.17,4261,4583,4683,561.86
46.00,200,3829.89,4117,4281,4412,569.79
47.00,300,3781.71,4088,4510,4510,553.84
48.00,200,3983.49,4230,4452,4452,555.25
49.00,300,3932.24,4183,4387,4632,514.86
50.00,200,4274.16,4225,4587,5888,2460.34
51.00,300,3824.85,4132,4248,4361,410.57
52.00,200,3876.63,4078,4368,4368,454.27
53.00,300,3968.64,4015,4175,4575,503.84
54.00,200,4063.06,4335,4545,4704,514.98
55.00,300,4016.20,4306,4510,4752,565.83
56.00,200,3998.00,4154,4551,4759,605.26
57.00,300,4074.29,4078,4439,4549,501.03
