elapsed_seconds,interval_throughput,interval_latency_mean_us,interval_latency_p50_us,interval_latency_p95_us,interval_latency_p99_us,interval_std_dev_us
1.00,200,4168.01,4227,4607,4983,412.24
2.00,200,4324.74,4351,4659,5059,445.93
3.00,300,4315.84,4327,4963,5103,470.88
4.00,200,4277.31,4455,4819,5043,576.76
5.00,300,3913.01,4139,4523,4747,566.56
6.00,200,4039.30,4127,4519,4599,432.41
7.00,200,4191.95,4179,4655,10047,1363.90
8.00,300,4022.96,4139,4391,4595,427.90
9.00,200,4037.13,4199,4547,4747,514.31
10.00,300,4157.83,4319,4663,4771,505.43
11.00,200,4058.49,4287,4547,4627,533.73
12.00,300,3955.51,4099,4471,4639,508.36
13.00,300,3963.91,4111,4495,4615,511.56
14.00,200,4079.63,4263,4547,4795,521.31
15.00,300,3942.48,4183,4575,4699,595.75
16.00,200,3967.30,4171,4427,4511,519.33
17.00,300,3953.97,4231,4495,4887,591.38
18.00,200,4157.90,4303,4499,4579,440.47
19.00,300,4053.80,4271,4511,4615,557.93
20.00,200,3900.32,4179,4607,4751,611.56
21.00,300,3895.38,4135,4403,4579,542.84
22.00,200,3881.72,4079,4379,4483,526.63
23.00,300,4042.93,4223,4483,4563,493.77
24.00,300,4001.79,4259,4527,4635,578.63
25.00,200,4126.99,4243,4539,4635,429.09
26.00,300,4033.86,4203,4439,4627,488.11
27.00,200,3861.54,4139,4463,4575,601.34
28.00,300,3871.06,4119,4491,4599,579.92
29.00,200,3881.45,4143,4495,4579,589.82
30.00,300,3979.38,4159,4395,4527,536.96
31.00,200,4030.99,4187,4467,4535,469.12
32.00,300,3987.67,4187,4435,4627,501.64
33.00,300,3919.83,4171,4515,4687,587.87
34.00,200,3881.66,4159,4471,4651,601.94
35.00,300,3979.08,4219,4479,4607,569.14
36.00,200,4205.87,4263,4551,4839,361.25
37.00,300,4097.44,4139,4451,4559,328.91
38.00,200,4150.28,4211,4447,4539,334.90
39.00,200,4134.69,4223,4399,4463,335.99
40.00,300,4154.07,4199,4367,4435,265.40
41.00,200,4129.07,4207,4439,4559,382.29
42.00,300,4241.87,4247,4567,4695,321.86
43.00,200,4138.85,4227,4499,4551,397.91
44.00,300,4110.73,4171,4531,4795,426.61
45.00,200,4131.75,4215,4695,4843,466.48
46.00,200,4107.17,4227,4551,4743,469.48
47.00,300,4185.11,4315,4611,4751,493.70
48.00,200,4155.00,4295,4575,4671,457.82
49.00,300,4211.97,4279,4623,4775,412.40
50.00,200,4248.43,4331,4635,4715,411.72
51.00,300,4018.93,4207,4579,4787,541.97
52.00,200,4157.18,4283,4639,4747,505.12
53.00,300,3963.07,4199,4555,4783,603.20
54.00,200,3955.77,4271,4507,4615,608.60
55.00,300,3983.36,4215,4531,4567,557.36
56.00,200,3905.20,4159,4399,4503,539.51
57.00,300,3974.18,4195,4523,4623,564.35
